name,city,iata,latitude,longitude,altitude_m,state,passengers_2024
King Island Airport,King Island,KNS,-39.877498626708984,143.8780059814453,40.0,,46978.0
Kalkgurung Airport,Kalkgurung,KFG,-17.431900024414062,130.80799865722656,197.0,,
Karumba Airport,Karumba,KRB,-17.45669937133789,140.8300018310547,2.0,,
Kowanyama Airport,Kowanyama,KWM,-15.485600471496582,141.75100708007812,11.0,,10597.0
Kubin Airport,Kubin,KUG,-10.2250003815,142.218002319,5.0,,
Leonora Airport,Leonora,LNO,-28.87809944152832,121.31500244140624,371.0,,
Lake Evella Airport,Lake Evella,LEL,-12.498900413513184,135.80599975585938,78.0,,
Lord Howe Island Airport,Lord Howe Island,LDH,-31.5382995605,159.07699585,2.0,,29201.0
Lockhart River Airport,Lockhart River,IRG,-12.7869,143.304993,23.0,,10868.0
Lismore Airport,Lismore,LSY,-28.8302993774,153.259994507,11.0,,
Lightning Ridge Airport,Lightning Ridge,LHG,-29.45669937133789,147.98399353027344,165.0,,
Longreach Airport,Longreach,LRE,-23.4342002869,144.279998779,191.0,,40034.0
Leinster Airport,Leinster,LER,-27.843299865722656,120.7030029296875,497.0,,
Laverton Airport,Laverton,LVO,-28.61359977722168,122.42400360107422,466.0,,
Mabuiag Island Airport,Mabuiag Island,UBB,-9.949999809265137,142.18299865722656,0.0,,
Meekatharra Airport,Meekatharra,MKR,-26.6117000579834,118.5479965209961,522.0,,
Merimbula Airport,Merimbula,MIM,-36.9085998535,149.901000977,2.0,,59457.0
Milingimbi Airport,Milingimbi,MGT,-12.0944004059,134.893997192,16.0,,
Maningrida Airport,Maningrida,MNG,-12.0560998917,134.23399353,37.0,,13656.0
McArthur River Mine Airport,McArthur River Mine,MCV,-16.4424991608,136.083999634,40.0,,
Mildura Airport,Mildura,MQL,-34.229198455799995,142.085998535,51.0,,231854.0
Mount Magnet Airport,Mount Magnet,MMG,-28.116100311279297,117.84200286865234,413.0,,
Moree Airport,Moree,MRZ,-29.498899459799997,149.845001221,214.0,,30322.0
Moranbah Airport,Moranbah,MOV,-22.057800293,148.07699585,235.0,,111076.0
Moruya Airport,Moruya,MYA,-35.8978004456,150.143997192,4.0,,20249.0
Mount Gambier Airport,Mount Gambier,MGB,-37.745601654052734,140.78500366210938,65.0,,72865.0
Mornington Island Airport,Mornington Island,ONG,-16.662500381469727,139.17799377441406,10.0,,11719.0
Murray Island Airport,Murray Island,MYI,-9.91666984558,144.054992676,91.0,,
Maryborough Airport,Maryborough,MBH,-25.5133,152.714996,12.0,,
