name,city,iata,icao,latitude,longitude,altitude_m,state
Leigh Creek Airport,Leigh Creek,LGH,YLEC,-30.59830093383789,138.42599487304688,261.0,
Warburton Airport,Warburton Community,,YWBR,-26.12829971313477,126.58300018310548,457.0,
Cunderdin Airport,Cunderdin,,YCUN,-31.62220001220703,117.21700286865234,215.0,
Rottnest Island Airport,Rottnest Island,RTS,YRTI,-32.006699,115.540001,4.0,
Forrest Airport,Forrest,FOS,YFRT,-30.83810043334961,128.11500549316406,156.0,
Ballarat Airport,Ballarat,,YBLT,-37.51169967651367,143.79100036621094,437.0,
Mallacoota Airport,Mallacoota,XMC,YMCO,-37.59830093383789,149.72000122070312,9.0,
Yuendumu Airport,Yuendumu ,YUE,YYND,-22.254199981689453,131.78199768066406,672.0,
Yarram Airport,Yarram,,YYRM,-38.56669998168945,146.7550048828125,5.0,
Yalata Mission Airport,Yalata,KYI,YYTA,-31.470600128173828,131.8249969482422,0.0,
Wyndham Airport,Wyndham,WYN,YWYM,-15.51140022277832,128.1529998779297,4.0,
Beverley Airport,Mine Site,,YBEE,-30.18670082092285,139.55799865722656,35.0,
Great Keppel Is Airport,Great Keppel Island,GKL,YGKL,-23.1833000183,150.942001343,6.0,
Roper Bar Airport,Roper Bar,RPB,YRRB,-14.734814,134.525485,28.0,
Mount Garnet Airport,Mount Garnet,,YMRT,-17.700000762939453,145.14999389648438,200.0,
Innisfail Airport,Innisfail,IFL,YIFL,-17.55940055847168,146.01199340820312,14.0,
Moomba Airport,Moomba,MOO,YOOM,-28.09939956665039,140.19700622558594,44.0,
Onslow Airport,Onslow,ONS,YOLW,-21.668300628662,115.1129989624,2.0,
Theodore Airport,Theodore,TDR,YTDR,-24.99329948425293,150.09300231933594,52.0,
Chinchilla Airport,Chinchilla,CCL,YCCA,-26.774999618530273,150.61700439453125,313.0,
Shute Harbour Airport,Shute Harbour,JHQ,YSHR,-20.277221,148.755556,4.0,
Shepparton Airport,Shepparton,SHT,YSHT,-36.42890167236328,145.39300537109375,114.0,
Temora Airport,Temora,TEM,YTEM,-34.4213981628418,147.51199340820312,281.0,
Gayndah Airport,Gayndah,GAH,YGAY,-25.61440086364746,151.61900329589844,112.0,
Wilcannia Airport,Wilcannia,WIO,YWCA,-31.52639961242676,143.375,76.0,
Ivanhoe Airport,Ivanhoe,,YIVO,-32.88330078125,144.30999755859375,101.0,
Menindee Airport,Menindee,,YMED,-32.36669921875,142.40499877929688,0.0,
Pooncarie Airport,Pooncarie,,YPCE,-33.36669921875,142.58799743652344,15.0,
Tilpa Airport,Tilpa,,YTLP,-30.933300018310547,144.41700744628906,0.0,
Lake Macquarie Airport,Lake Macquarie,BEO,YPEC,-33.0667,151.647995,1.0,
Brampton Island Airport,Brampton Island,BMP,YBPI,-20.803300857543945,149.27000427246094,3.0,
Busselton Regional Airport,Brusselton,BQB,YBLN,-33.6884231567,115.401596069,17.0,
Inverell Airport,Inverell,IVR,YIVL,-29.888299942,151.143997192,813.0,
Glen Innes Airport,Glen Innes,GLI,YGLI,-29.674999237060547,151.68899536132812,1046.0,
Fortescue - Dave Forrest Aerodrome,Cloudbreak,KFE,YFDF,-22.290754,119.437143,474.0,
Solomon Airport,Solomon,SLJ,YSOL,-22.2554,117.7627,619.0,
Coonabarabran Airport,Coonabarabran,COJ,YCBB,-31.332500457763672,149.26699829101562,645.0,
Warnervale Airport,Warnervale Airport,,YWVA,-33.240278,151.429722,8.0,
Bairnsdale Airport,Bairnsdale,BSJ,YBNS,-37.88750076293945,147.5679931640625,50.0,
Prominent Hill Airport,Prominent Hill,PXH,YPMH,-29.716,135.5244,227.0,
Cowra Airport,Chatsworth,CWT,YCWR,-33.84469985961914,148.6490020751953,294.0,
Coral Bay Airport,Coral Bay,,YCOY,-23.1299991607666,113.7770004272461,2.0,
Lilydale Airport,Lilydale,,YLIL,-37.69169998168945,145.36700439453125,23.0,
Toowoomba Wellcamp Airport,Toowoomba,WTB,YBWW,-27.558332,151.793335,460.0,
Clermont Airport,Clermont,CMQ,YCMT,-22.773099899291992,147.62100219726562,277.0,
Warrnambool Airport,Warrnambool,WMB,YWBL,-38.2952995300293,142.44700622558594,74.0,
Richmond Airport,Richmond,RCM,YRMD,-20.701900482177734,143.11500549316406,206.0,
RAAF Base Curtin,Derby,DCN,YCIN,-17.5813999176,123.82800293,91.0,
Bunbury Airport,Bunbury,BUY,YBUN,-33.378299713134766,115.677001953125,16.0,
Atherton Airport,Atherton,,YATN,-17.2616996765,145.51499939,747.0,
Kadina Airport,Kadina,,YKDI,-33.97669982910156,137.66000366210938,13.0,
Coondewanna Airport,Coondewanna,CJF,YCWA,-22.96669960022,118.81300354004,701.0,
Borroloola Airport,Borroloola,BOX,YBRL,-16.075300216674805,136.302001953125,17.0,
Port Keats Airport,Wadeye,PKT,YPKT,-14.25,129.5290069580078,28.0,
Garden Point Airport,Pirlangimpi,GPN,YGPT,-11.40250015258789,130.4219970703125,27.0,
Flinders Island Airport,Elliston,,YFLS,-33.730989,134.501,0.0,
Murray Bridge Airport,Murray Bridge,,YMBD,-35.06669998168945,139.2270050048828,17.0,
Horsham Airport,Horsham,HSM,YHSM,-36.669700622558594,142.17300415039062,136.0,
Swan Hill Airport,Swan Hill,SWH,YSWH,-35.37580108642578,143.5330047607422,71.0,
Dulkaninna Airport,Dulkaninna,DLK,YDLK,-29.0132999420166,138.4810028076172,0.0,
William Creek Airport,William Creek,,YWMC,-28.906700134277344,136.3419952392578,28.0,
Taroom Airport,Taroom,XTO,YTAM,-25.801700592041016,149.89999389648438,73.0,
Alpha Airport,Alpha,ABH,YAPH,-23.646099,146.584,383.0,
Ararat Airport,,ARY,YARA,-37.30939865112305,142.98899841308594,307.0,
Benalla Airport,,BLN,YBLA,-36.55189895629883,146.0070037841797,173.0,
Balranald Airport,,BZD,YBRN,-34.623600006103516,143.5780029296875,64.0,
Brewarrina Airport,,BWQ,YBRW,-29.973899841308594,146.81700134277344,126.0,
Cleve Airport,,CVC,YCEE,-33.70970153808594,136.5050048828125,180.0,
Corowa Airport,,CWW,YCOR,-35.99470138549805,146.35699462890625,143.0,
Corryong Airport,,CYG,YCRG,-36.18280029296875,147.88800048828125,294.0,
Cootamundra Airport,,CMD,YCTM,-34.6239013671875,148.0279998779297,338.0,
Dirranbandi Airport,,DRN,YDBI,-28.591699600219727,148.2169952392578,173.0,
Deniliquin Airport,Deniliquin,DNQ,YDLQ,-35.5593986511,144.945999146,96.0,
Dysart Airport,,DYA,YDYS,-22.62220001220703,148.36399841308594,204.0,
Echuca Airport,,ECH,YECH,-36.15719985961914,144.76199340820312,98.0,
Forbes Airport,Forbes,FRB,YFBS,-33.363602,147.934998,232.0,
Gunnedah Airport,,GUH,YGDH,-30.96109962463379,150.25100708007812,263.0,
Hay Airport,,HXX,YHAY,-34.53139877319336,144.8300018310547,93.0,
Hopetoun Airport,,HTU,YHPN,-35.715301513671875,142.36000061035156,78.0,
Kerang Airport,,KRA,YKER,-35.751399993896484,143.93899536132812,77.0,
Kempsey Airport,,KPS,YKMP,-31.074399948120117,152.77000427246094,16.0,
Kingaroy Airport,,KGY,YKRY,-26.580799102783203,151.84100341796875,455.0,
Latrobe Valley Airport,Morwell,TGN,YLTV,-38.207199,146.470001,55.0,
Mareeba Airport,,MRG,YMBA,-17.06920051574707,145.41900634765625,475.0,
Ngukurr Airport,,RPM,YNGU,-14.722800254821776,134.7469940185547,14.0,
Narromine Airport,,QRM,YNRM,-32.214698791503906,148.22500610351562,238.0,
Port Pirie Airport,,PPI,YPIR,-33.23889923095703,137.9949951171875,12.0,
Smithton Airport,,SIO,YSMI,-40.834999084472656,145.08399963378906,9.0,
Snake Bay Airport,,SNB,YSNB,-11.422800064086914,130.6540069580078,53.0,
Stawell Airport,,SWC,YSWL,-37.07170104980469,142.74099731445312,246.0,
Tibooburra Airport,,TYB,YTIB,-29.451099395751953,142.05799865722656,178.0,
Tumut Airport,,TUM,YTMU,-35.26279830932617,148.24099731445312,268.0,
Wangaratta Airport,,WGT,YWGT,-36.41579818725586,146.3070068359375,154.0,
Warracknabeal Airport,,WKB,YWKB,-36.32109832763672,142.41900634765625,121.0,
Warren Airport,,QRR,YWRN,-31.733299255371097,147.80299377441406,204.0,
West Sale Airport,Sale,SXE,YWSL,-38.090827,146.965335,22.0,
West Wyalong Airport,West Wyalong,WWY,YWWL,-33.9371986389,147.190994263,262.0,
Young Airport,,NGA,YYNG,-34.25559997558594,148.2480010986328,386.0,
Hermannsburg Airport,Hermannsburg,HMG,YHMB,-23.93000030517578,132.80499267578125,181.0,
Mount Davies Airport,Pipalyatjara,,YMDV,-26.16670036315918,129.13299560546875,0.0,
Areyonga Airport,Areyonga,,YARN,-24.066699981689453,132.26699829101562,0.0,
Mount Allan Airport,Yuelamu,,YMNA,-22.274999618530273,132.2169952392578,0.0,
Everard Park Airport,Mimili,,YEVP,-27.016700744628903,132.7169952392578,0.0,
Warrabri Airport,Ali-Curung,,YWBI,-21.0,134.39700317382812,117.0,
Ampilatwatja Airport,Ampilatwatja,,YAMJ,-21.655000686645508,135.22999572753906,0.0,
Kings Creek Airport,Petermann,KCS,YKCS,-24.42329978942871,131.8350067138672,187.0,
Harts Range Airport,Harts Range,,YHTS,-22.98500061035156,134.91799926757812,0.0,
Elliott Airport,Elliott,,YELL,-17.527429580688477,133.52989196777344,0.0,
Papunya Airport,Papunya,,YPAY,-23.24670028686523,131.9029998779297,189.0,
Fregon Airport,Fregon,,YFRG,-26.774999618530273,132.01699829101562,161.0,
Mount Liebig Airport,Mt Liebig,,YLBG,-23.24329948425293,131.25999450683594,0.0,
Goondiwindi Airport,Goondiwindi,GOO,YGDI,-28.521400451660156,150.32000732421875,218.0,
Docker River Airport,Docker River,DKV,YDVR,-24.86000061035156,129.07000732421875,180.0,
Ti Tree Airport,Ti Tree,,YTIT,-22.13170051574707,133.4199981689453,0.0,
Kintore Airport,Kintore,,YKNT,-23.26499938964844,129.38699340820312,0.0,
